passenger_class,is_female,age,siblings_spouses_aboard,parents_children_aboard,ticket_fare,target
3,0,22.0,1,0,7.25,0
1,1,38.0,1,0,71.28,1
3,1,26.0,0,0,7.92,1
1,1,35.0,1,0,53.1,1
3,0,35.0,0,0,8.05,0
1,0,54.0,0,0,51.86,0
3,0,2.0,3,1,21.08,0
3,1,27.0,0,2,11.13,1
2,1,14.0,1,0,30.07,1
3,1,4.0,1,1,16.7,1
1,1,58.0,0,0,26.55,1
3,0,20.0,0,0,8.05,0
3,0,39.0,1,5,31.28,0
3,1,14.0,0,0,7.85,0
2,1,55.0,0,0,16.0,1
3,0,2.0,4,1,29.12,0
3,1,31.0,1,0,18.0,0
2,0,35.0,0,0,26.0,0
2,0,34.0,0,0,13.0,1
3,1,15.0,0,0,8.03,1
1,0,28.0,0,0,35.5,1
3,1,8.0,3,1,21.08,0
3,1,38.0,1,5,31.39,1
1,0,19.0,3,2,263.0,0
1,0,40.0,0,0,27.72,0
2,0,66.0,0,0,10.5,0
1,0,28.0,1,0,82.17,0
1,0,42.0,1,0,52.0,0
3,0,21.0,0,0,8.05,0
3,1,18.0,2,0,18.0,0
3,1,14.0,1,0,11.24,1
3,1,40.0,1,0,9.48,0
2,1,27.0,1,0,21.0,0
2,1,3.0,1,2,41.58,1
3,1,19.0,0,0,7.88,1
3,1,18.0,1,0,17.8,0
3,0,7.0,4,1,39.69,0
3,0,21.0,0,0,7.8,0
1,1,49.0,1,0,76.73,1
2,1,29.0,1,0,26.0,1
1,0,65.0,0,1,61.98,0
2,1,21.0,0,0,10.5,1
3,0,28.5,0,0,7.23,0
2,1,5.0,1,2,27.75,1
3,0,11.0,5,2,46.9,0
3,0,22.0,0,0,7.23,0
1,1,38.0,0,0,80.0,1
1,0,45.0,1,0,83.48,0
3,0,4.0,3,2,27.9,0
2,1,29.0,0,0,10.5,1
3,0,19.0,0,0,8.16,0
3,1,17.0,4,2,7.92,1
3,0,26.0,2,0,8.66,0
2,0,32.0,0,0,10.5,0
3,1,16.0,5,2,46.9,0
2,0,21.0,0,0,73.5,0
3,0,26.0,1,0,14.45,0
3,0,32.0,0,0,56.5,1
3,0,25.0,0,0,7.65,0
2,0,0.8,0,2,29.0,1
3,1,30.0,0,0,12.48,1
3,0,22.0,0,0,9.0,0
3,0,29.0,0,0,9.5,1
1,0,28.0,0,0,47.1,0
2,1,17.0,0,0,10.5,1
3,1,33.0,3,0,15.85,1
3,0,16.0,1,3,34.38,0
1,1,23.0,3,2,263.0,1
3,0,24.0,0,0,8.05,0
3,0,29.0,0,0,8.05,0
3,0,20.0,0,0,7.85,0
1,0,46.0,1,0,61.18,0
3,0,26.0,1,2,20.58,0
3,0,59.0,0,0,7.25,0
1,0,71.0,0,0,34.65,0
1,0,23.0,0,1,63.36,1
2,1,34.0,0,1,23.0,1
2,0,34.0,1,0,26.0,0
3,1,28.0,0,0,7.9,0
1,0,21.0,0,1,77.29,0
3,0,33.0,0,0,8.65,0
3,0,37.0,2,0,7.92,0
3,0,28.0,0,0,7.9,0
3,1,21.0,0,0,7.65,1
3,0,38.0,0,0,7.9,0
1,0,47.0,0,0,52.0,0
3,1,14.5,1,0,14.45,0
3,0,22.0,0,0,8.05,0
3,1,20.0,1,0,9.82,0
3,1,17.0,0,0,14.46,0
3,0,21.0,0,0,7.92,0
3,0,70.5,0,0,7.75,0
2,0,29.0,1,0,21.0,0
1,0,24.0,0,1,247.52,0
